@relation KDDTrain-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.Resample-B0.0-S1-Z18.0-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.SMOTE-C2-K5-P1000.0-S1-weka.filters.supervised.instance.SMOTE-C2-K5-P500.0-S1-weka.filters.supervised.instance.SMOTE-C2-K5-P125.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P500.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P150.0-S1-weka.filters.supervised.instance.SMOTE-C4-K5-P800.0-S1-weka.filters.unsupervised.instance.Randomize-S42

@attribute duration numeric
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute wrong_fragment numeric
@attribute urgent numeric
@attribute hot numeric
@attribute num_failed_logins numeric
@attribute num_compromised numeric
@attribute root_shell numeric
@attribute su_attempted numeric
@attribute num_root numeric
@attribute num_file_creations numeric
@attribute num_shells numeric
@attribute num_access_files numeric
@attribute num_outbound_cmds numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute class {adduser,hydraftp,hydrassh,javameter,meterpreter,webshell}

@data
2298, 1464, 1411, 2298, 922, 990, 486, 291, 186, 0, 0, 2298, 2298, 990, 922, 2298, 990, 922, adduser
2182, 4, 40, 2182, 896, 861, 441, 324, 217, 144, 122, 2182, 2182, 861, 896, 2182, 861, 896, hydraftp
1185, 8, 64, 1185, 1510, 905, 2109, 1763, 1731, 121, 326, 1185, 1185, 905, 1510, 1185, 905, 1510, hydrassh
1421, 229, 1254, 1421, 947, 1004, 821, 458, 424, 3873, 1550, 1421, 1421, 1004, 947, 1421, 1004, 947, javameter
1280, 9, 0, 1280, 912, 982, 884, 415, 454, 123, 0, 1280, 1280, 982, 912, 1280, 982, 912, meterpreter
4319, 143, 0, 4319, 1757, 1805, 1027, 571, 382, 59, 10, 4319, 4319, 1805, 1757, 4319, 1805, 1757, webshell
990, 939, 922, 939, 0, 0, 251, 922, 277, 1411, 990, 922, 939, 486, 251, 939, 486, 590, adduser
861, 842, 896, 842, 555, 538, 266, 896, 255, 40, 861, 896, 842, 441, 266, 842, 441, 470, hydraftp
905, 1244, 1510, 1244, 244, 261, 1511, 1510, 1377, 64, 905, 1510, 1244, 2109, 1511, 1244, 2109, 332, hydrassh
1004, 926, 947, 926, 0, 0, 806, 947, 408, 1254, 1004, 947, 926, 821, 806, 926, 821, 504, javameter
982, 911, 912, 911, 0, 0, 846, 912, 406, 0, 982, 912, 911, 884, 846, 911, 884, 545, meterpreter
1805, 1713, 1757, 1713, 0, 0, 600, 1757, 524, 0, 1805, 1757, 1713, 1027, 600, 1713, 1027, 947, webshell
590, 554, 533, 533, 590, 486, 939, 438, 2298, 939, 486, 251, 438, 445, 197, 533, 554, 445, adduser
470, 438, 486, 486, 470, 441, 842, 390, 2182, 842, 441, 266, 390, 378, 434, 486, 438, 378, hydraftp
332, 267, 477, 477, 332, 2109, 1244, 1231, 1185, 1244, 2109, 1511, 1231, 1118, 673, 477, 267, 1118, hydrassh
504, 442, 485, 485, 504, 821, 926, 706, 1421, 926, 821, 806, 706, 732, 356, 485, 442, 732, javameter
545, 442, 439, 439, 545, 884, 911, 846, 1280, 911, 884, 846, 846, 814, 778, 439, 442, 814, meterpreter
947, 905, 939, 939, 947, 1027, 1713, 887, 4319, 1713, 1027, 600, 887, 892, 841, 939, 905, 892, webshell
504, 501, 486, 554, 197, 0, 445, 990, 23, 445, 438, 590, 590, 150, 186, 438, 197, 251, adduser
0, 0, 441, 438, 434, 424, 378, 861, 84, 378, 390, 470, 470, 149, 217, 390, 434, 266, hydraftp
0, 0, 2109, 267, 673, 162, 1118, 905, 819, 1118, 1231, 332, 332, 438, 1731, 1231, 673, 1511, hydrassh
78, 77, 821, 442, 356, 0, 732, 1004, 55, 732, 706, 504, 504, 362, 424, 706, 356, 806, javameter
0, 0, 884, 442, 778, 0, 814, 982, 51, 814, 846, 545, 545, 480, 454, 846, 778, 846, meterpreter
70, 70, 1027, 905, 841, 0, 892, 1805, 55, 892, 887, 947, 947, 346, 382, 887, 841, 600, webshell
447, 445, 438, 438, 445, 0, 53, 30, 23, 0, 533, 0, 263, 554, 0, 291, 277, 282, adduser
0, 378, 390, 390, 378, 344, 87, 66, 66, 22, 486, 44, 217, 438, 8, 324, 255, 246, hydraftp
0, 1118, 1231, 1231, 1118, 470, 810, 729, 729, 43, 477, 132, 249, 267, 7, 1763, 1377, 542, hydrassh
70, 732, 706, 706, 732, 12, 72, 48, 54, 502, 485, 478, 383, 442, 40, 458, 408, 443, javameter
0, 814, 846, 846, 814, 0, 64, 56, 52, 0, 439, 0, 446, 442, 440, 415, 406, 380, meterpreter
67, 892, 887, 887, 892, 19, 93, 50, 52, 7, 939, 6, 484, 905, 344, 571, 524, 516, webshell
389, 381, 375, 291, 320, 251, 197, 0, 5, 291, 320, 282, 533, 320, 171, 0, 320, 259, adduser
15, 13, 14, 324, 267, 266, 434, 206, 32, 324, 267, 246, 486, 267, 124, 0, 267, 191, hydraftp
96, 48, 49, 1763, 564, 1511, 673, 591, 578, 1763, 564, 542, 477, 564, 326, 0, 564, 202, hydrassh
392, 388, 384, 458, 446, 806, 356, 0, 9, 458, 446, 443, 485, 446, 393, 0, 446, 361, javameter
0, 0, 0, 415, 428, 846, 778, 0, 2, 415, 428, 380, 439, 428, 415, 0, 428, 412, meterpreter
0, 0, 0, 571, 511, 600, 841, 14, 46, 571, 511, 516, 939, 511, 329, 513, 511, 493, webshell
320, 291, 282, 277, 0, 282, 320, 282, 40, 554, 0, 186, 291, 259, 277, 263, 36, 226, adduser
267, 324, 246, 255, 246, 246, 267, 246, 64, 438, 25, 217, 324, 191, 255, 217, 35, 166, hydraftp
564, 1763, 542, 1377, 413, 542, 564, 542, 514, 267, 57, 1731, 1763, 202, 1377, 249, 21, 115, hydrassh
446, 458, 443, 408, 8, 443, 446, 443, 47, 442, 426, 424, 458, 361, 408, 383, 25, 334, javameter
428, 415, 380, 406, 0, 380, 428, 380, 49, 442, 0, 454, 415, 412, 406, 446, 28, 334, meterpreter
511, 571, 516, 524, 18, 516, 511, 516, 83, 905, 1, 382, 571, 493, 524, 484, 420, 414, webshell
277, 263, 259, 0, 0, 0, 0, 533, 0, 277, 171, 389, 282, 226, 141, 219, 186, 203, adduser
255, 217, 191, 240, 234, 229, 186, 486, 344, 255, 124, 15, 246, 166, 142, 191, 217, 180, hydraftp
1377, 249, 202, 138, 131, 435, 510, 477, 470, 1377, 326, 96, 542, 115, 176, 213, 1731, 182, hydrassh
408, 383, 361, 16, 39, 7, 1, 485, 12, 408, 393, 392, 443, 334, 267, 293, 424, 293, javameter
406, 446, 412, 0, 0, 0, 0, 439, 0, 406, 415, 0, 380, 334, 310, 269, 454, 283, meterpreter
524, 484, 493, 0, 1, 16, 16, 939, 19, 524, 329, 0, 516, 414, 272, 401, 382, 377, webshell
251, 226, 219, 0, 0, 186, 150, 0, 0, 381, 375, 263, 3, 3, 155, 150, 0, 171, adduser
266, 166, 191, 223, 222, 217, 149, 229, 246, 13, 14, 217, 0, 0, 136, 149, 8, 124, hydraftp
1511, 115, 213, 350, 337, 1731, 438, 435, 413, 48, 49, 249, 0, 0, 318, 438, 7, 326, hydrassh
806, 334, 293, 7, 6, 424, 362, 7, 8, 388, 384, 383, 0, 0, 288, 362, 40, 393, javameter
846, 334, 269, 0, 0, 454, 480, 0, 0, 0, 0, 446, 309, 308, 296, 480, 440, 415, meterpreter
600, 414, 401, 13, 12, 382, 346, 16, 18, 0, 0, 484, 225, 220, 297, 346, 344, 329, webshell
203, 197, 186, 263, 0, 219, 39, 0, 0, 0, 150, 259, 3, 161, 203, 3, 161, 155, adduser
180, 434, 217, 217, 206, 191, 44, 223, 222, 9, 149, 191, 0, 134, 180, 1, 134, 136, hydraftp
182, 673, 1731, 249, 591, 213, 377, 350, 337, 1, 438, 202, 0, 172, 182, 4, 172, 318, hydrassh
293, 356, 424, 383, 0, 293, 42, 7, 6, 376, 362, 361, 0, 269, 293, 0, 269, 288, javameter
283, 778, 454, 446, 0, 269, 61, 0, 0, 12, 480, 412, 292, 285, 283, 9, 285, 296, meterpreter
377, 841, 382, 484, 14, 401, 60, 13, 12, 14, 346, 493, 191, 311, 377, 316, 311, 297, webshell
171, 163, 161, 259, 0, 135, 590, 171, 0, 197, 0, 0, 219, 3, 3, 141, 3, 3, adduser
124, 147, 134, 191, 186, 185, 470, 124, 122, 434, 7, 9, 191, 0, 0, 142, 0, 0, hydraftp
326, 202, 172, 202, 510, 97, 332, 326, 326, 673, 7, 3, 213, 0, 0, 176, 0, 0, hydrassh
393, 129, 269, 361, 1, 70, 504, 393, 1550, 356, 338, 336, 293, 1, 0, 267, 0, 0, javameter
415, 196, 285, 412, 0, 112, 545, 415, 0, 778, 8, 3, 269, 220, 216, 310, 309, 308, meterpreter
329, 72, 311, 493, 16, 94, 947, 329, 10, 841, 8, 13, 401, 155, 156, 272, 225, 220, webshell
155, 150, 146, 203, 38, 226, 155, 554, 0, 226, 219, 203, 2, 163, 15, 36, 3, 38, adduser
136, 149, 0, 180, 172, 166, 136, 438, 538, 166, 191, 180, 0, 147, 0, 36, 0, 32, hydraftp
318, 438, 0, 182, 136, 115, 318, 267, 261, 115, 213, 182, 0, 202, 0, 20, 0, 21, hydrassh
288, 362, 20, 293, 39, 334, 288, 442, 0, 334, 293, 293, 0, 129, 0, 25, 0, 27, javameter
296, 480, 0, 283, 53, 334, 296, 442, 0, 334, 269, 283, 202, 196, 178, 31, 292, 31, meterpreter
297, 346, 21, 377, 22, 414, 297, 905, 0, 414, 401, 377, 123, 72, 119, 199, 191, 186, webshell
143, 141, 135, 35, 35, 40, 263, 0, 0, 155, 161, 141, 0, 135, 58, 3, 3, 1464, adduser
0, 142, 185, 159, 157, 154, 217, 555, 74, 136, 134, 142, 144, 185, 68, 0, 0, 4, hydraftp
0, 176, 97, 129, 129, 135, 249, 244, 223, 318, 172, 176, 121, 97, 29, 0, 0, 8, hydrassh
27, 267, 70, 41, 37, 39, 383, 0, 2, 288, 269, 267, 3873, 70, 46, 0, 1, 229, javameter
0, 310, 112, 50, 50, 53, 446, 0, 0, 296, 285, 310, 123, 112, 83, 216, 220, 9, meterpreter
9, 272, 94, 29, 22, 23, 484, 0, 13, 297, 311, 272, 59, 94, 44, 156, 155, 143, webshell
107, 105, 101, 150, 163, 0, 219, 163, 259, 0, 0, 0, 72, 65, 53, 2, 71, 15, adduser
0, 5, 0, 149, 147, 144, 191, 147, 191, 0, 0, 0, 48, 68, 87, 0, 53, 0, hydraftp
0, 57, 0, 438, 202, 121, 213, 202, 202, 0, 0, 0, 90, 61, 810, 0, 115, 0, hydrassh
13, 119, 17, 362, 129, 3873, 293, 129, 361, 263, 262, 250, 46, 43, 72, 0, 63, 0, javameter
0, 0, 0, 480, 196, 123, 269, 196, 412, 0, 0, 0, 70, 66, 64, 202, 37, 178, meterpreter
21, 0, 12, 346, 72, 59, 401, 72, 493, 0, 0, 0, 71, 51, 93, 123, 120, 119, webshell
96, 91, 91, 141, 0, 0, 0, 0, 26, 0, 1, 0, 65, 39, 55, 58, 34, 57, adduser
3, 0, 0, 142, 139, 137, 60, 100, 28, 14, 104, 10, 24, 44, 28, 48, 59, 44, hydraftp
10, 0, 0, 176, 74, 70, 199, 195, 194, 9, 182, 26, 73, 377, 32, 57, 79, 112, hydrassh
113, 18, 12, 267, 238, 0, 1, 0, 56, 247, 243, 238, 33, 42, 25, 71, 40, 58, javameter
0, 1, 0, 310, 13, 0, 0, 0, 55, 0, 0, 0, 62, 61, 59, 44, 17, 34, meterpreter
0, 8, 22, 272, 46, 1, 15, 0, 47, 4, 1, 0, 11, 60, 17, 118, 109, 101, webshell
91, 75, 72, 17, 155, 161, 35, 1, 203, 0, 1464, 0, 30, 62, 26, 54, 135, 53, adduser
3, 0, 48, 137, 136, 134, 111, 104, 180, 139, 4, 16, 66, 64, 28, 44, 185, 87, hydraftp
10, 0, 90, 162, 318, 172, 189, 182, 182, 74, 8, 17, 729, 53, 194, 39, 97, 810, hydrassh
111, 14, 46, 15, 288, 269, 37, 243, 293, 238, 229, 226, 48, 54, 56, 49, 70, 72, javameter
0, 0, 70, 18, 296, 285, 52, 0, 283, 13, 9, 0, 56, 56, 55, 44, 112, 64, meterpreter
0, 2, 71, 17, 297, 311, 21, 1, 377, 46, 143, 2, 50, 40, 47, 94, 94, 93, webshell
71, 67, 65, 0, 0, 171, 141, 0, 0, 0, 0, 163, 40, 38, 23, 61, 59, 54, adduser
