('158', '158', '158', '158', '158', '158', '158', '158', '158', '158', '158', '158', '158', '158', '158', '158', '158', '158', '158', '158', '158', '158', '158', '158', '158'): 56
('78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78'): 27
('146', '146', '146', '146', '146', '146', '146', '146', '146', '146', '146', '146', '146', '146', '146', '146', '146', '146', '146', '146', '146', '146', '146', '146', '146'): 15
('78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '3', '78', '78', '78', '78', '78', '78', '78', '78', '78'): 4
('78', '78', '78', '78', '78', '78', '78', '78', '195', '140', '3', '140', '3', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78'): 4
('78', '78', '78', '78', '78', '78', '78', '195', '140', '3', '140', '3', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78'): 4
('78', '78', '78', '78', '78', '78', '195', '140', '3', '140', '3', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78'): 4
('78', '78', '78', '78', '78', '195', '140', '3', '140', '3', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78'): 4
('102', '102', '102', '102', '102', '102', '102', '102', '102', '102', '102', '102', '102', '102', '102', '102', '102', '102', '102', '102', '102', '102', '102', '102', '102'): 4
('78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '3', '78', '78', '78', '78', '78'): 3
('78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '3', '78', '78', '78', '78', '78', '78', '78', '78'): 3
('78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78', '3', '78', '78', '78', '78', '78', '78', '78', '78', '78', '78'): 3
