('142', '142', '142', '142', '142', '142', '142', '142', '142', '142', '142', '142', '142', '142', '142', '142', '142', '142', '142', '142', '142', '142', '142', '142', '142'): 57
('168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168'): 31
('168', '102', '168', '102', '168', '102', '168', '102', '168', '102', '168', '102', '168', '102', '168', '102', '168', '102', '168', '102', '168', '102', '168', '102', '168'): 14
('102', '168', '102', '168', '102', '168', '102', '168', '102', '168', '102', '168', '102', '168', '102', '168', '102', '168', '102', '168', '102', '168', '102', '168', '102'): 14
('168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '265'): 5
('265', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168'): 3
('168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '265', '168', '168'): 3
('168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '168', '265', '168'): 3
('6', '33', '5', '3', '197', '192', '192', '6', '33', '5', '3', '197', '192', '192', '6', '33', '5', '3', '197', '192', '192', '192', '6', '33', '5'): 2
('6', '33', '5', '3', '197', '192', '192', '6', '33', '5', '3', '197', '192', '192', '192', '6', '33', '5', '3', '197', '192', '192', '6', '192', '192'): 2
('6', '33', '5', '3', '197', '192', '192', '6', '33', '5', '3', '197', '192', '192', '192', '6', '33', '5', '3', '197', '192', '192', '192', '6', '33'): 2
('6', '33', '5', '3', '197', '192', '192', '192', '6', '33', '5', '3', '197', '192', '192', '6', '33', '5', '3', '197', '192', '192', '192', '6', '33'): 2
('6', '33', '5', '3', '197', '192', '192', '192', '6', '33', '5', '3', '197', '192', '192', '192', '6', '33', '5', '3', '197', '192', '192', '6', '33'): 2
('6', '3', '6', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '11', '45', '33'): 2
('6', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '11', '45', '33', '192', '33'): 2
('57', '175', '54', '175', '6', '3', '6', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174'): 2
('54', '175', '6', '3', '6', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '11'): 2
('5', '3', '197', '192', '192', '6', '33', '5', '3', '197', '192', '192', '6', '33', '5', '3', '197', '192', '192', '192', '6', '33', '5', '3', '197'): 2
('5', '3', '197', '192', '192', '6', '33', '5', '3', '197', '192', '192', '192', '6', '33', '5', '3', '197', '192', '192', '6', '192', '192', '243', '125'): 2
('5', '3', '197', '192', '192', '6', '33', '5', '3', '197', '192', '192', '192', '6', '33', '5', '3', '197', '192', '192', '192', '6', '33', '5', '3'): 2
('5', '3', '197', '192', '192', '192', '6', '33', '5', '3', '197', '192', '192', '6', '33', '5', '3', '197', '192', '192', '192', '6', '33', '5', '3'): 2
('5', '3', '197', '192', '192', '192', '6', '33', '5', '3', '197', '192', '192', '192', '6', '33', '5', '3', '197', '192', '192', '6', '33', '5', '3'): 2
('5', '197', '192', '6', '33', '5', '3', '197', '192', '192', '6', '33', '5', '3', '197', '192', '192', '6', '33', '5', '3', '197', '192', '192', '192'): 2
('45', '33', '192', '33', '5', '197', '192', '6', '33', '5', '3', '197', '192', '192', '6', '33', '5', '3', '197', '192', '192', '6', '33', '5', '3'): 2
('33', '5', '3', '197', '192', '192', '6', '33', '5', '3', '197', '192', '192', '6', '33', '5', '3', '197', '192', '192', '192', '6', '33', '5', '3'): 2
('33', '5', '3', '197', '192', '192', '6', '33', '5', '3', '197', '192', '192', '192', '6', '33', '5', '3', '197', '192', '192', '6', '192', '192', '243'): 2
('33', '5', '3', '197', '192', '192', '6', '33', '5', '3', '197', '192', '192', '192', '6', '33', '5', '3', '197', '192', '192', '192', '6', '33', '5'): 2
('33', '5', '3', '197', '192', '192', '192', '6', '33', '5', '3', '197', '192', '192', '6', '33', '5', '3', '197', '192', '192', '192', '6', '33', '5'): 2
('33', '5', '3', '197', '192', '192', '192', '6', '33', '5', '3', '197', '192', '192', '192', '6', '33', '5', '3', '197', '192', '192', '6', '33', '5'): 2
('33', '5', '197', '192', '6', '33', '5', '3', '197', '192', '192', '6', '33', '5', '3', '197', '192', '192', '6', '33', '5', '3', '197', '192', '192'): 2
('33', '192', '33', '5', '197', '192', '6', '33', '5', '3', '197', '192', '192', '6', '33', '5', '3', '197', '192', '192', '6', '33', '5', '3', '197'): 2
('3', '6', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '174', '11', '45', '33', '192'): 2
('3', '197', '192', '192', '6', '33', '5', '3', '197', '192', '192', '6', '33', '5', '3', '197', '192', '192', '192', '6', '33', '5', '3', '197', '192'): 2
