('168', '168', '168')
('54', '54', '54')
('162', '162', '162')
('168', '265', '168')
('265', '168', '168')
('168', '168', '265')
('168', '3', '168')
('168', '168', '3')
('3', '168', '168')
('54', '309', '54')
('54', '54', '309')
('265', '168', '265')
('309', '54', '54')
('168', '265', '265')
('265', '265', '168')
('162', '114', '162')
('114', '162', '162')
('162', '162', '114')
('3', '168', '265')
('168', '265', '3')
('265', '3', '168')
('3', '265', '168')
('265', '168', '3')
('168', '3', '265')
('265', '265', '265')
('3', '168', '3')
('3', '3', '168')
('168', '3', '3')
('3', '3', '3')
('265', '3', '265')
('265', '265', '3')
('174', '174', '174')
('265', '3', '3')
('3', '265', '3')
('3', '265', '265')
('309', '54', '309')
('3', '54', '54')
('3', '3', '265')
('142', '142', '142')
('54', '309', '309')
('114', '162', '114')
('54', '3', '54')
('114', '114', '162')
('54', '54', '3')
('309', '309', '54')
('162', '114', '114')
('309', '3', '54')
('142', '142', '3')
('168', '146', '168')
('54', '309', '3')
('265', '142', '142')
('175', '175', '175')
('142', '142', '265')
('43', '168', '168')
('3', '142', '142')
('142', '3', '3')
('3', '142', '3')
('142', '265', '142')
('168', '168', '146')
('142', '3', '142')
('142', '146', '142')
('3', '3', '142')
('146', '168', '168')
('168', '265', '43')
('168', '43', '168')
('142', '265', '3')
('265', '168', '146')
('146', '142', '142')
('3', '265', '142')
('168', '168', '43')
('142', '142', '146')
('142', '175', '142')
('309', '309', '309')
('265', '142', '265')
('142', '3', '265')
('142', '265', '265')
('265', '43', '168')
('197', '192', '192')
('175', '142', '142')
('43', '168', '265')
('265', '3', '142')
('192', '192', '6')
('168', '168', '102')
('168', '102', '168')
('102', '168', '168')
('6', '33', '5')
('5', '3', '197')
('33', '5', '3')
('3', '197', '192')
('192', '6', '33')
('168', '146', '3')
('125', '125', '125')
('5', '5', '5')
('142', '142', '175')
('146', '168', '265')
('43', '265', '168')
('3', '54', '309')
('3', '142', '265')
('265', '265', '142')
('104', '3', '3')
('43', '3', '265')
('168', '146', '265')
('146', '3', '168')
('265', '168', '43')
('265', '142', '3')
('43', '168', '3')
('3', '43', '168')
('3', '3', '175')
('3', '168', '146')
('3', '104', '3')
('265', '43', '265')
('265', '146', '168')
('168', '43', '265')
('142', '146', '265')
('3', '3', '104')
('3', '146', '3')
('265', '265', '146')
('142', '3', '104')
('142', '119', '142')
('43', '43', '168')
('43', '265', '3')
('3', '3', '146')
('3', '265', '43')
('3', '175', '175')
('265', '43', '3')
('265', '104', '3')
('168', '43', '3')
('168', '3', '43')
('146', '3', '3')
('146', '3', '265')
('146', '265', '265')
('146', '265', '168')
('3', '168', '43')
('265', '146', '3')
('175', '142', '265')
('146', '168', '3')
('142', '265', '146')
('142', '104', '142')
('114', '114', '114')
('309', '54', '3')
('3', '142', '175')
('3', '142', '146')
('265', '3', '146')
('265', '142', '146')
('168', '265', '146')
('309', '309', '3')
('3', '265', '146')
('3', '104', '142')
('265', '146', '142')
('175', '175', '142')
('168', '265', '102')
('146', '3', '142')
('146', '265', '3')
('146', '265', '142')
('146', '142', '3')
('3', '146', '265')
('265', '102', '168')
('168', '43', '43')
('146', '142', '146')
('142', '146', '3')
('142', '104', '3')
('5', '5', '3')
('43', '3', '3')
('3', '309', '54')
('265', '3', '43')
('265', '265', '43')
('265', '146', '265')
('142', '142', '119')
('119', '142', '142')
('104', '3', '142')
('104', '142', '3')
('104', '142', '142')
('5', '197', '192')
('3', '43', '3')
('3', '3', '43')
('3', '146', '168')
('175', '142', '175')
('168', '3', '146')
('142', '142', '104')
('104', '142', '265')
('102', '168', '265')
('3', '175', '142')
('3', '142', '104')
('265', '142', '175')
('265', '104', '142')
('175', '3', '142')
('43', '3', '168')
('43', '265', '265')
('3', '5', '5')
('3', '104', '265')
('192', '192', '192')
('19', '19', '19')
('146', '142', '265')
('54', '3', '309')
('43', '168', '43')
('146', '146', '3')
('142', '3', '175')
('142', '3', '146')
('142', '265', '104')
('142', '175', '175')
('142', '175', '146')
('142', '146', '146')
('104', '265', '142')
('3', '43', '265')
('3', '146', '142')
('146', '3', '146')
('146', '265', '146')
('104', '3', '175')
('5', '3', '5')
('3', '175', '3')
('265', '43', '43')
('175', '142', '146')
('146', '175', '142')
('104', '3', '265')
('91', '5', '5')
('54', '240', '54')
('5', '5', '6')
('3', '265', '104')
('265', '3', '104')
('265', '175', '142')
('265', '146', '146')
('175', '175', '3')
('175', '146', '142')
('175', '142', '3')
('168', '102', '265')
('146', '146', '142')
('146', '142', '175')
('142', '175', '3')
('104', '3', '104')
('104', '265', '3')
