('168', '168', '168')
('168', '168', '265')
('168', '265', '168')
('265', '168', '168')
('78', '78', '142')
('78', '142', '78')
('3', '168', '168')
('168', '3', '168')
('265', '168', '265')
('168', '168', '3')
('3', '3', '3')
('142', '78', '102')
('265', '265', '168')
('168', '265', '265')
('78', '13', '13')
('168', '265', '3')
('3', '168', '265')
('265', '265', '265')
('3', '265', '168')
('4', '78', '13')
('265', '3', '168')
('78', '102', '78')
('102', '78', '78')
('13', '4', '78')
('13', '13', '78')
('13', '78', '13')
('265', '3', '265')
('265', '168', '3')
('240', '240', '13')
('3', '3', '168')
('168', '3', '265')
('240', '13', '4')
('142', '142', '142')
('168', '3', '3')
('192', '192', '6')
('3', '168', '3')
('5', '3', '197')
('3', '197', '192')
('197', '192', '192')
('3', '265', '265')
('174', '174', '174')
('78', '78', '78')
('3', '3', '265')
('102', '102', '102')
('78', '146', '78')
('5', '197', '192')
('3', '265', '3')
('265', '3', '3')
('146', '78', '78')
('13', '13', '4')
('265', '265', '3')
('142', '78', '146')
('240', '240', '240')
('142', '142', '78')
('85', '195', '85')
('142', '78', '78')
('78', '142', '142')
('265', '265', '240')
('192', '6', '125')
('6', '33', '5')
('192', '6', '33')
('125', '125', '125')
('142', '78', '142')
('265', '240', '240')
('13', '78', '78')
('13', '265', '265')
('78', '13', '265')
('3', '6', '91')
('33', '5', '3')
('102', '13', '78')
('197', '192', '3')
('78', '102', '13')
('168', '265', '43')
('195', '85', '195')
('265', '43', '3')
('265', '142', '265')
('102', '309', '102')
('4', '240', '240')
('309', '102', '27')
('102', '142', '78')
('78', '102', '142')
('3', '3', '6')
('265', '142', '142')
('142', '265', '142')
('102', '102', '309')
('43', '3', '265')
('3', '265', '43')
('265', '265', '142')
('3', '5', '3')
('265', '43', '168')
('195', '5', '197')
('192', '192', '192')
('142', '142', '265')
('142', '102', '142')
('5', '102', '102')
('13', '240', '240')
('6', '125', '125')
('5', '5', '5')
('195', '78', '78')
('192', '6', '5')
('142', '3', '142')
('142', '142', '102')
('43', '168', '168')
('168', '146', '168')
('142', '3', '3')
('78', '78', '102')
('5', '192', '6')
('102', '27', '85')
('102', '142', '142')
('78', '102', '195')
('309', '102', '102')
('265', '102', '265')
('102', '195', '78')
('6', '78', '78')
('5', '5', '3')
('192', '3', '3')
('142', '265', '265')
('5', '3', '5')
('3', '142', '3')
('142', '142', '3')
('197', '192', '6')
('192', '3', '5')
('240', '4', '240')
('142', '265', '102')
('102', '102', '5')
('10', '102', '102')
('78', '240', '240')
('43', '168', '265')
('3', '5', '5')
('265', '142', '3')
('168', '168', '146')
('146', '168', '168')
('13', '4', '265')
('78', '142', '102')
('3', '3', '142')
('3', '265', '142')
('240', '240', '4')
('142', '102', '78')
('125', '125', '91')
('27', '85', '195')
('102', '78', '142')
('6', '125', '3')
('240', '13', '240')
('162', '162', '162')
('102', '102', '6')
('13', '4', '4')
('91', '5', '5')
('78', '102', '6')
('4', '265', '265')
('4', '13', '240')
('3', '142', '142')
('142', '3', '265')
('125', '91', '5')
('43', '3', '168')
('168', '43', '168')
('102', '6', '78')
('102', '27', '102')
('102', '168', '168')
('6', '5', '197')
('168', '168', '43')
('168', '102', '168')
('91', '5', '3')
('6', '91', '195')
('3', '142', '265')
('221', '221', '221')
('102', '102', '27')
('78', '6', '142')
('6', '91', '5')
('27', '5', '102')
('142', '6', '142')
('102', '265', '142')
('91', '195', '5')
('85', '85', '195')
('6', '142', '78')
('4', '4', '4')
('309', '102', '309')
('168', '168', '102')
('146', '142', '142')
('142', '265', '3')
('102', '5', '102')
('102', '265', '265')
('78', '78', '146')
('5', '3', '3')
('5', '102', '309')
('4', '4', '240')
('240', '4', '4')
('13', '4', '240')
('78', '78', '6')
('78', '146', '142')
('4', '4', '78')
('4', '13', '4')
('195', '85', '85')
('146', '78', '142')
('146', '142', '78')
('5', '5', '192')
('4', '4', '13')
('3', '6', '5')
('265', '43', '265')
('240', '78', '4')
('240', '4', '78')
('142', '146', '78')
('142', '146', '142')
('142', '142', '6')
('78', '142', '6')
('4', '78', '240')
('4', '240', '4')
('142', '6', '78')
('102', '6', '27')
('78', '13', '240')
('3', '43', '168')
('3', '195', '5')
('13', '4', '13')
('13', '102', '5')
('125', '3', '6')
('102', '309', '5')
('78', '4', '240')
('78', '142', '146')
('309', '5', '102')
('27', '102', '102')
('240', '78', '240')
('168', '43', '3')
('142', '265', '104')
('13', '240', '4')
('13', '240', '13')
('6', '142', '142')
('5', '309', '102')
('5', '3', '6')
('5', '3', '192')
('43', '265', '168')
('4', '78', '4')
('309', '309', '102')
('3', '168', '43')
('265', '3', '142')
('265', '168', '146')
('175', '175', '175')
('168', '3', '43')
('142', '78', '6')
('102', '309', '309')
('5', '192', '192')
('33', '5', '192')
('142', '142', '146')
('140', '91', '6')
('125', '125', '268')
('102', '142', '102')
('91', '3', '6')
('85', '195', '196')
('6', '27', '5')
('5', '140', '197')
('3', '3', '5')
('265', '168', '43')
('265', '104', '3')
('265', '10', '102')
('240', '4', '13')
('240', '240', '78')
('13', '78', '240')
('13', '13', '240')
('104', '3', '3')
('102', '27', '309')
('78', '6', '78')
('6', '78', '142')
('6', '125', '195')
('43', '168', '3')
('4', '240', '13')
('3', '91', '5')
('27', '309', '102')
('265', '240', '4')
('196', '196', '102')
('140', '197', '192')
('125', '268', '5')
('102', '102', '85')
('6', '5', '5')
('6', '125', '5')
('5', '5', '6')
('3', '3', '195')
('265', '146', '168')
('240', '13', '13')
('197', '192', '140')
('168', '265', '146')
('168', '168', '78')
('146', '265', '168')
('146', '168', '3')
('102', '309', '27')
('102', '102', '142')
('78', '4', '78')
('78', '195', '78')
('265', '265', '102')
('192', '140', '91')
('168', '43', '265')
('142', '102', '265')
('104', '3', '142')
('102', '27', '5')
('91', '91', '91')
('91', '91', '5')
('78', '240', '78')
('78', '240', '4')
('6', '5', '3')
('45', '45', '45')
('43', '3', '3')
('309', '102', '85')
('3', '3', '91')
('3', '3', '221')
('27', '221', '3')
('27', '174', '27')
('265', '142', '104')
('221', '3', '3')
('174', '27', '221')
('168', '146', '265')
