('265', '168', '265')
('168', '265', '3')
('265', '3', '265')
('265', '265', '265')
('168', '168', '265')
('3', '265', '168')
('265', '168', '168')
('265', '265', '168')
('168', '168', '168')
('168', '265', '265')
('168', '265', '168')
('265', '43', '3')
('168', '265', '43')
('43', '3', '265')
('3', '265', '43')
('3', '3', '3')
('240', '240', '13')
('4', '4', '4')
('3', '168', '265')
('265', '3', '168')
('265', '43', '168')
('240', '13', '4')
('3', '168', '168')
('78', '13', '13')
('3', '265', '265')
('13', '4', '78')
('4', '78', '13')
('43', '168', '265')
('13', '13', '78')
('13', '78', '13')
('168', '3', '168')
('265', '265', '3')
('240', '240', '240')
('3', '265', '3')
('168', '168', '3')
('78', '142', '78')
('265', '168', '3')
('78', '78', '142')
('4', '240', '240')
('3', '3', '168')
('174', '174', '174')
('168', '3', '265')
('13', '240', '240')
('78', '13', '265')
('265', '43', '265')
('125', '125', '125')
('265', '240', '240')
('168', '3', '3')
('3', '3', '265')
('13', '265', '265')
('265', '265', '240')
('265', '3', '3')
('5', '197', '192')
('142', '78', '102')
('43', '168', '168')
('78', '102', '78')
('265', '104', '3')
('192', '192', '6')
('197', '192', '192')
('78', '240', '240')
('102', '78', '78')
('5', '3', '197')
('3', '197', '192')
('142', '265', '104')
('3', '6', '91')
('78', '78', '78')
('43', '3', '168')
('197', '192', '3')
('13', '13', '4')
('3', '168', '3')
('168', '146', '168')
('104', '3', '3')
('192', '6', '33')
('168', '168', '146')
('6', '33', '5')
('43', '265', '168')
('13', '4', '265')
('240', '4', '240')
('240', '13', '240')
('142', '142', '142')
('162', '114', '162')
('4', '265', '265')
('33', '5', '3')
('13', '4', '240')
('142', '142', '3')
('240', '240', '4')
('3', '3', '146')
('265', '265', '102')
('265', '142', '265')
('5', '5', '5')
('142', '78', '78')
('3', '146', '104')
('102', '102', '102')
('175', '175', '175')
('78', '146', '78')
('265', '43', '43')
('146', '104', '265')
('142', '78', '142')
('78', '13', '240')
('146', '78', '78')
('265', '102', '265')
('4', '4', '13')
('265', '265', '142')
('78', '142', '142')
('142', '78', '146')
('142', '3', '265')
('6', '6', '6')
('162', '162', '162')
('6', '91', '5')
('192', '3', '3')
('142', '142', '78')
('102', '265', '265')
('265', '142', '142')
('5', '140', '197')
('43', '265', '265')
('4', '4', '240')
('4', '13', '4')
('104', '265', '142')
('91', '5', '197')
('140', '197', '192')
('13', '78', '240')
('197', '192', '140')
('13', '13', '240')
('3', '3', '6')
('3', '142', '3')
('240', '78', '240')
('142', '3', '142')
('13', '4', '4')
('114', '162', '114')
('43', '168', '3')
('3', '3', '142')
('142', '3', '3')
('5', '195', '5')
('192', '192', '192')
('192', '140', '91')
('3', '142', '142')
('192', '6', '125')
('146', '168', '3')
('142', '142', '265')
('4', '78', '240')
('265', '265', '4')
('27', '174', '27')
('3', '142', '265')
('168', '43', '168')
('162', '162', '114')
('4', '13', '240')
('195', '5', '195')
('114', '162', '162')
('146', '168', '265')
('140', '91', '6')
('3', '3', '13')
('3', '168', '146')
('91', '91', '91')
('43', '265', '43')
('192', '3', '6')
('240', '240', '78')
('240', '13', '13')
('13', '4', '13')
('13', '240', '13')
('240', '4', '13')
('142', '265', '3')
('265', '4', '240')
('168', '146', '3')
('146', '3', '3')
('3', '13', '199')
('240', '13', '78')
('197', '192', '6')
('146', '168', '168')
('85', '85', '85')
('265', '3', '142')
('265', '240', '4')
('13', '240', '4')
('13', '199', '5')
('4', '240', '4')
('78', '78', '102')
('78', '13', '4')
('3', '3', '175')
('265', '265', '43')
('265', '13', '240')
('146', '142', '142')
('5', '5', '3')
('5', '140', '27')
('43', '43', '3')
('33', '5', '140')
('3', '265', '142')
('240', '4', '78')
('43', '265', '3')
('146', '265', '265')
('125', '125', '91')
('265', '168', '43')
('142', '146', '142')
('140', '27', '174')
('13', '265', '240')
('13', '102', '6')
('102', '13', '102')
('102', '102', '6')
('78', '4', '240')
('3', '13', '102')
('265', '265', '146')
('265', '142', '3')
('240', '4', '4')
('199', '5', '140')
('102', '142', '78')
('43', '43', '168')
('3', '3', '104')
('195', '5', '197')
('142', '265', '265')
('102', '78', '142')
('43', '3', '3')
('4', '78', '4')
('4', '4', '3')
('142', '265', '142')
('13', '13', '13')
('78', '78', '146')
('4', '3', '4')
('3', '4', '4')
('3', '3', '221')
('27', '221', '3')
('265', '265', '13')
('265', '119', '265')
('221', '3', '3')
('174', '27', '221')
('168', '146', '265')
('4', '240', '13')
('3', '3', '91')
('168', '43', '265')
('142', '142', '146')
('78', '142', '146')
('43', '168', '43')
('3', '265', '119')
('3', '168', '43')
('240', '265', '240')
('168', '43', '3')
('13', '102', '102')
('104', '142', '265')
('78', '240', '4')
('78', '102', '142')
('5', '5', '195')
('265', '146', '142')
('221', '27', '174')
('102', '102', '5')
('91', '5', '5')
('78', '240', '13')
('4', '240', '78')
('3', '5', '5')
('142', '119', '265')
('13', '78', '78')
('91', '6', '5')
('78', '4', '4')
('265', '146', '168')
('102', '102', '13')
('91', '5', '3')
('91', '102', '102')
('78', '146', '142')
('5', '3', '3')
('5', '13', '102')
('3', '221', '27')
('3', '175', '142')
('265', '102', '168')
('142', '4', '4')
('119', '265', '265')
('102', '6', '102')
('6', '78', '78')
('6', '125', '5')
('5', '6', '265')
('5', '5', '6')
('5', '5', '197')
('3', '104', '175')
('265', '43', '195')
('265', '265', '104')
