('3', '3', '3')
('4', '4', '4')
('195', '195', '195')
('240', '240', '240')
('180', '180', '180')
('221', '221', '221')
('78', '78', '78')
('6', '6', '6')
('174', '174', '174')
('4', '3', '4')
('5', '197', '192')
('3', '197', '192')
('5', '3', '197')
('192', '192', '6')
('197', '192', '192')
('6', '33', '5')
('192', '6', '33')
('33', '5', '3')
('3', '6', '91')
('3', '3', '6')
('5', '5', '5')
('3', '4', '4')
('125', '125', '125')
('197', '192', '3')
('4', '4', '3')
('265', '240', '240')
('175', '175', '175')
('3', '4', '3')
('5', '195', '5')
('78', '265', '240')
('102', '102', '102')
('45', '45', '45')
('195', '5', '195')
('240', '240', '196')
('192', '3', '3')
('192', '192', '192')
('6', '91', '195')
('168', '3', '3')
('195', '5', '5')
('240', '196', '78')
('265', '265', '265')
('91', '195', '5')
('6', '91', '5')
('33', '33', '33')
('168', '102', '102')
('196', '78', '265')
('91', '5', '197')
('195', '5', '197')
('3', '3', '4')
('54', '54', '54')
('197', '192', '6')
('102', '168', '102')
('168', '146', '168')
('195', '195', '5')
('196', '196', '196')
('3', '6', '195')
('4', '3', '3')
('168', '102', '168')
('6', '195', '195')
('3', '265', '168')
('6', '195', '5')
('192', '3', '6')
('240', '240', '78')
('3', '3', '168')
('3', '6', '5')
('102', '102', '168')
('146', '168', '3')
('168', '168', '168')
('6', '5', '197')
('6', '3', '6')
('5', '197', '3')
('195', '5', '3')
('168', '168', '102')
('197', '3', '6')
('195', '195', '3')
('3', '3', '45')
('5', '3', '6')
('5', '5', '195')
('45', '3', '3')
('265', '168', '265')
('3', '45', '3')
('3', '3', '265')
('5', '5', '197')
('3', '6', '3')
('102', '168', '168')
('5', '3', '3')
('125', '125', '91')
('3', '168', '146')
('33', '5', '197')
('265', '168', '3')
('1', '1', '1')
('3', '168', '3')
('33', '192', '33')
('6', '3', '3')
('192', '33', '5')
('168', '3', '168')
('5', '197', '5')
('11', '45', '33')
('240', '78', '265')
('240', '78', '240')
('195', '5', '221')
('102', '102', '6')
('240', '265', '240')
('192', '6', '192')
('45', '33', '192')
('140', '3', '140')
('6', '91', '6')
('78', '168', '102')
('140', '140', '6')
('197', '5', '197')
('3', '140', '3')
('78', '78', '265')
('6', '5', '3')
('240', '240', '265')
('195', '3', '3')
('221', '197', '192')
('197', '3', '3')
('3', '140', '140')
('243', '125', '125')
('192', '243', '125')
('4', '142', '3')
('240', '196', '240')
('142', '3', '3')
('42', '120', '6')
('192', '3', '197')
('168', '4', '168')
('102', '78', '168')
('3', '45', '45')
('5', '197', '197')
('42', '221', '221')
('3', '195', '195')
('195', '3', '6')
('5', '195', '195')
('3', '197', '3')
('142', '4', '142')
('5', '221', '197')
('3', '142', '4')
('3', '3', '142')
('221', '6', '221')
('252', '252', '252')
('265', '102', '102')
('197', '197', '192')
('102', '265', '168')
('102', '102', '3')
('6', '6', '195')
('265', '265', '168')
('33', '195', '5')
('3', '6', '6')
('195', '3', '195')
('6', '6', '168')
('168', '265', '102')
('45', '45', '3')
('168', '42', '221')
('3', '168', '102')
('168', '168', '3')
('102', '6', '6')
('140', '3', '3')
('192', '6', '125')
('4', '140', '4')
('197', '192', '140')
('175', '120', '175')
('308', '3', '4')
('5', '54', '140')
('192', '6', '5')
('3', '195', '3')
('168', '3', '102')
('120', '6', '3')
('102', '6', '102')
('4', '168', '42')
('3', '54', '54')
('3', '3', '195')
('168', '146', '3')
('168', '102', '78')
('168', '102', '6')
('4', '4', '7')
('3', '168', '168')
('265', '3', '265')
('168', '265', '78')
