('168', '168', '168')
('168', '265', '168')
('168', '168', '265')
('265', '168', '168')
('265', '168', '265')
('168', '3', '168')
('3', '168', '168')
('168', '168', '3')
('168', '265', '265')
('265', '265', '168')
('3', '3', '3')
('265', '265', '265')
('168', '265', '3')
('3', '265', '168')
('265', '3', '168')
('301', '301', '301')
('3', '168', '265')
('168', '3', '265')
('265', '168', '3')
('168', '102', '168')
('3', '168', '3')
('3', '3', '168')
('265', '3', '265')
('168', '3', '3')
('3', '265', '265')
('195', '195', '195')
('265', '265', '3')
('102', '168', '102')
('265', '3', '3')
('3', '265', '3')
('3', '3', '265')
('19', '3', '3')
('3', '3', '19')
('102', '168', '168')
('3', '19', '3')
('168', '168', '102')
('19', '19', '3')
('3', '19', '19')
('54', '54', '54')
('19', '3', '19')
('168', '146', '168')
('19', '19', '19')
('3', '142', '3')
('5', '5', '5')
('168', '168', '146')
('146', '168', '168')
('142', '142', '142')
('168', '265', '43')
('43', '168', '168')
('142', '3', '3')
('3', '3', '142')
('265', '43', '168')
('168', '43', '168')
('142', '3', '142')
('5', '3', '5')
('168', '168', '43')
('102', '102', '168')
('3', '5', '5')
('3', '142', '142')
('174', '174', '174')
('5', '5', '3')
('142', '142', '3')
('54', '54', '309')
('54', '309', '54')
('309', '54', '54')
('142', '3', '265')
('43', '168', '265')
('78', '78', '78')
('168', '102', '102')
('43', '168', '3')
('3', '168', '43')
('265', '43', '3')
('265', '3', '142')
('43', '265', '168')
('168', '43', '265')
('3', '265', '43')
('265', '142', '142')
('43', '3', '265')
('3', '265', '142')
('43', '3', '168')
('265', '265', '43')
('265', '43', '265')
('146', '168', '265')
('4', '4', '4')
('3', '5', '3')
('265', '168', '146')
('102', '102', '102')
('265', '142', '3')
('5', '3', '3')
('265', '168', '43')
('142', '265', '142')
('91', '5', '5')
('3', '142', '265')
('168', '3', '43')
('168', '265', '146')
('146', '3', '168')
('168', '146', '3')
('5', '91', '5')
('142', '142', '265')
('3', '168', '146')
('265', '146', '168')
('43', '265', '265')
('142', '265', '3')
('104', '3', '3')
('43', '265', '3')
('3', '3', '5')
('3', '104', '3')
('220', '301', '301')
('168', '146', '265')
('3', '43', '168')
('3', '3', '104')
('265', '265', '142')
('168', '43', '3')
('146', '265', '168')
('4', '13', '4')
('175', '142', '3')
('265', '142', '265')
('104', '3', '142')
('146', '168', '3')
('301', '301', '220')
('3', '3', '175')
('146', '3', '3')
('146', '3', '265')
('142', '3', '104')
('13', '4', '4')
('3', '175', '142')
('5', '5', '91')
('5', '3', '197')
('33', '33', '33')
('265', '146', '3')
('4', '4', '13')
('265', '265', '146')
('265', '146', '265')
('142', '3', '175')
('142', '104', '3')
('3', '43', '265')
('3', '175', '3')
('240', '4', '4')
('146', '265', '265')
('142', '142', '146')
('13', '4', '13')
('104', '265', '3')
('301', '220', '301')
('3', '3', '146')
('265', '104', '3')
('142', '265', '265')
('43', '43', '168')
('3', '91', '5')
('3', '3', '6')
('3', '146', '3')
('265', '3', '43')
('221', '301', '301')
('91', '5', '91')
('301', '301', '300')
('265', '102', '168')
('168', '3', '146')
('6', '5', '5')
('5', '5', '6')
('4', '4', '240')
('301', '301', '221')
('3', '6', '5')
('3', '265', '104')
('3', '142', '175')
('197', '192', '192')
('309', '309', '54')
('301', '221', '301')
('3', '197', '192')
('3', '146', '168')
('3', '104', '265')
('192', '192', '6')
('168', '168', '78')
('13', '13', '4')
('104', '142', '3')
('6', '33', '5')
('54', '309', '309')
('5', '3', '91')
('5', '3', '6')
('33', '5', '3')
('309', '54', '309')
('3', '5', '6')
('3', '3', '91')
('3', '104', '142')
('265', '43', '43')
('192', '6', '33')
('168', '265', '102')
('142', '175', '142')
('125', '125', '125')
('91', '5', '3')
('78', '168', '168')
('6', '91', '5')
('4', '4', '78')
('4', '13', '13')
('3', '91', '3')
('168', '43', '43')
('146', '168', '146')
('142', '265', '104')
('142', '146', '265')
('13', '13', '13')
('104', '3', '265')
('102', '168', '265')
('78', '13', '13')
('6', '5', '3')
('5', '6', '5')
('3', '43', '3')
('3', '3', '43')
('168', '102', '265')
('91', '3', '5')
('5', '6', '3')
('43', '168', '43')
('4', '78', '13')
('3', '146', '265')
('3', '146', '142')
('265', '142', '146')
('265', '104', '265')
('175', '3', '142')
('142', '146', '3')
('142', '142', '104')
('104', '265', '142')
('102', '265', '168')
('91', '91', '5')
('6', '3', '5')
('5', '197', '192')
('43', '43', '265')
('33', '33', '195')
('301', '301', '6')
('301', '300', '301')
('3', '6', '91')
('3', '265', '146')
('265', '3', '146')
('265', '168', '102')
('265', '142', '104')
('196', '196', '196')
('175', '3', '3')
('146', '265', '3')
('146', '265', '142')
('142', '146', '142')
('142', '104', '265')
('91', '3', '3')
('78', '4', '4')
('6', '3', '3')
('5', '91', '91')
('5', '6', '91')
('5', '5', '192')
('4', '78', '4')
('4', '240', '4')
('4', '13', '240')
('300', '301', '301')
('3', '142', '146')
('240', '240', '4')
('240', '13', '4')
('196', '33', '33')
('195', '195', '33')
('146', '142', '142')
('142', '3', '146')
('142', '175', '3')
('13', '4', '78')
('104', '3', '104')
('340', '168', '168')
('265', '3', '104')
('175', '3', '175')
('168', '78', '3')
('146', '142', '3')
('13', '240', '240')
('104', '265', '265')
('6', '301', '301')
('5', '195', '5')
('43', '3', '3')
('43', '265', '43')
('4', '168', '168')
('301', '6', '301')
('3', '78', '78')
('3', '5', '91')
('3', '142', '104')
('240', '4', '13')
('240', '240', '13')
('195', '33', '33')
('175', '104', '3')
('168', '102', '45')
('168', '102', '192')
('142', '265', '146')
('104', '142', '265')
('104', '142', '142')
('91', '91', '91')
('91', '6', '5')
('78', '3', '78')
('7', '142', '142')
('4', '240', '240')
('33', '33', '13')
('33', '195', '33')
('3', '6', '3')
('3', '175', '265')
('295', '301', '301')
('195', '195', '196')
('168', '168', '4')
('13', '240', '4')
('13', '13', '78')
('91', '5', '195')
('78', '4', '13')
('78', '13', '4')
('78', '102', '168')
('54', '3', '54')
('5', '91', '3')
('5', '5', '197')
('5', '197', '5')
('4', '78', '240')
('33', '195', '195')
('3', '175', '104')
('3', '104', '175')
('265', '265', '104')
('195', '196', '196')
('175', '265', '3')
('175', '142', '175')
('146', '142', '265')
('142', '104', '142')
('13', '78', '13')
('13', '13', '240')
('91', '5', '6')
('6', '3', '6')
('5', '5', '195')
('5', '195', '195')
('4', '240', '13')
('340', '168', '265')
('301', '301', '295')
('3', '197', '5')
